epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
36,30164.5,1.27633,2.09649,1.032,0.00397,1.13327,0.74796,0.68473,0.75486,0.52984,0.74195,0.6588,0.71663,0.43286,1.24128,1.99354,1.0143,0.00662,0,0.0241901,0.00806337,0.0241901,0.00806337,0.0241901,0.00806337,0.0241901,0.00806337
37,31001.5,1.279,2.10609,1.03975,0.00397,1.15042,0.75588,0.68564,0.75434,0.5277,0.74702,0.664,0.71926,0.4316,1.24215,1.98913,1.01306,0.00665,0,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
38,31827.7,1.27079,2.09386,1.03261,0.00393,1.12532,0.75496,0.68808,0.75671,0.52964,0.74903,0.66621,0.72147,0.43231,1.23852,1.98507,1.00656,0.00658,0,0.0235611,0.00785371,0.0235611,0.00785371,0.0235611,0.00785371,0.0235611,0.00785371
39,32651,1.26161,2.07619,1.01612,0.00388,1.10959,0.74927,0.69448,0.75745,0.53246,0.74197,0.67149,0.72313,0.43571,1.23664,1.98314,1.00457,0.00656,0,0.0232379,0.00774596,0.0232379,0.00774596,0.0232379,0.00774596,0.0232379,0.00774596
40,33479.5,1.26494,2.07592,1.01307,0.00387,1.09439,0.75584,0.68752,0.75908,0.53569,0.75043,0.66469,0.72599,0.43732,1.23456,1.97835,0.99804,0.00653,0,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637
41,34310.2,1.26257,2.07398,1.01311,0.00389,1.10872,0.75919,0.69187,0.76182,0.53692,0.76096,0.6667,0.73016,0.43852,1.23408,1.97535,0.9944,0.00654,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
42,35141.8,1.2652,2.08482,1.01461,0.00391,1.11405,0.75418,0.69468,0.76311,0.53869,0.75256,0.67332,0.73222,0.44172,1.23133,1.97663,0.99412,0.00651,0,0.0222358,0.00741194,0.0222358,0.00741194,0.0222358,0.00741194,0.0222358,0.00741194
43,35970.2,1.26061,2.06894,1.00773,0.00384,1.10552,0.74955,0.6947,0.75974,0.53743,0.74563,0.67156,0.72621,0.43891,1.22969,1.97063,0.99085,0.00647,0,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
44,36799.9,1.26282,2.07763,1.01178,0.0039,1.10162,0.7498,0.70119,0.76307,0.54027,0.74865,0.67151,0.72879,0.44106,1.22852,1.96872,0.98554,0.00648,0,0.0215431,0.00718103,0.0215431,0.00718103,0.0215431,0.00718103,0.0215431,0.00718103
45,37636,1.26107,2.07614,1.00844,0.00387,1.10091,0.75642,0.70325,0.76745,0.54102,0.7529,0.67958,0.73207,0.44165,1.2268,1.96753,0.98612,0.00648,0,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
46,38461.9,1.26067,2.06887,1.00886,0.00392,1.0947,0.7549,0.70145,0.76698,0.5421,0.74526,0.68133,0.73345,0.44382,1.22541,1.96568,0.9816,0.00646,0,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428
47,39301.8,1.25863,2.0717,1.00588,0.00386,1.09749,0.76554,0.69571,0.76937,0.54308,0.75413,0.67771,0.73527,0.44503,1.22703,1.96417,0.98013,0.00647,0,0.0204718,0.00682392,0.0204718,0.00682392,0.0204718,0.00682392,0.0204718,0.00682392
48,40132,1.25668,2.0638,1.0042,0.00386,1.08793,0.76024,0.70077,0.76882,0.54409,0.75739,0.67611,0.73528,0.4451,1.22583,1.96034,0.98005,0.00648,0,0.020107,0.00670234,0.020107,0.00670234,0.020107,0.00670234,0.020107,0.00670234
49,40978.4,1.25702,2.06282,0.99651,0.00388,1.07204,0.77084,0.6966,0.77082,0.54501,0.75916,0.67529,0.73443,0.44448,1.22596,1.95681,0.97672,0.00646,0,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
50,41826.7,1.24351,2.0441,0.98293,0.00384,1.06866,0.75411,0.71053,0.7719,0.5466,0.75483,0.67916,0.7375,0.4466,1.22312,1.95259,0.97267,0.00642,0,0.0193676,0.00645588,0.0193676,0.00645588,0.0193676,0.00645588,0.0193676,0.00645588
51,42679.6,1.24755,2.04679,0.98356,0.00381,1.05299,0.76592,0.70807,0.77594,0.54904,0.75687,0.6844,0.74109,0.44811,1.22188,1.95063,0.97017,0.00642,0,0.0189935,0.00633115,0.0189935,0.00633115,0.0189935,0.00633115,0.0189935,0.00633115
52,43533.4,1.24878,2.04976,0.98655,0.00385,1.07026,0.76058,0.71294,0.77726,0.55032,0.76358,0.68531,0.74426,0.44955,1.22088,1.94998,0.96706,0.00642,0,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555
53,44366.2,1.24473,2.04268,0.97973,0.00377,1.04808,0.75747,0.72048,0.77728,0.55085,0.76776,0.68557,0.74346,0.45046,1.22087,1.94852,0.96519,0.00643,0,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
54,45205.8,1.24268,2.0425,0.98052,0.00378,1.04856,0.76762,0.713,0.77731,0.55057,0.76174,0.68556,0.74324,0.45033,1.21936,1.9448,0.96462,0.00643,0,0.0178562,0.00595207,0.0178562,0.00595207,0.0178562,0.00595207,0.0178562,0.00595207
55,46037.8,1.23841,2.0296,0.97166,0.00377,1.04017,0.76047,0.71847,0.7784,0.55167,0.75733,0.68871,0.74382,0.45097,1.21812,1.94294,0.96525,0.0064,0,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
56,46878.5,1.24451,2.04291,0.97408,0.00378,1.04425,0.76664,0.71604,0.77878,0.5521,0.75928,0.69131,0.74566,0.45242,1.21831,1.94017,0.96117,0.0064,0,0.0170883,0.0056961,0.0170883,0.0056961,0.0170883,0.0056961,0.0170883,0.0056961
57,47713,1.23234,2.01783,0.96218,0.00374,1.03938,0.76629,0.71648,0.77944,0.55328,0.75695,0.69655,0.74535,0.45271,1.21675,1.93782,0.95872,0.00638,0,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
58,48545,1.23644,2.03428,0.97455,0.00381,1.04123,0.77067,0.71294,0.78081,0.55419,0.76308,0.69226,0.74721,0.45347,1.21643,1.93539,0.95849,0.00637,0,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837
59,49372.7,1.23611,2.02476,0.96758,0.00378,1.02726,0.76743,0.71563,0.78066,0.55382,0.76126,0.69372,0.74696,0.45327,1.21649,1.93515,0.95508,0.00638,0,0.0159272,0.00530906,0.0159272,0.00530906,0.0159272,0.00530906,0.0159272,0.00530906
60,50203.7,1.22963,2.01595,0.95746,0.00373,1.01577,0.76615,0.71972,0.78223,0.55538,0.76582,0.69146,0.74837,0.45411,1.21495,1.93422,0.95365,0.00636,0,0.0155387,0.00517958,0.0155387,0.00517958,0.0155387,0.00517958,0.0155387,0.00517958
61,51041.7,1.22686,2.01575,0.95495,0.00371,1.01518,0.76315,0.71997,0.7827,0.55591,0.76374,0.68984,0.74873,0.45422,1.21349,1.93168,0.95229,0.00634,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
62,51873.5,1.22337,2.00373,0.94589,0.0037,0.99163,0.75745,0.72514,0.78312,0.55616,0.76006,0.69463,0.74874,0.45464,1.21385,1.92999,0.94938,0.00633,0,0.0147613,0.00492042,0.0147613,0.00492042,0.0147613,0.00492042,0.0147613,0.00492042
63,52703.7,1.23034,2.00869,0.95305,0.00373,1.00185,0.76542,0.71877,0.78415,0.55744,0.76333,0.69273,0.74963,0.45534,1.21199,1.92714,0.94844,0.00632,0,0.0143728,0.00479094,0.0143728,0.00479094,0.0143728,0.00479094,0.0143728,0.00479094
64,53534.2,1.22599,2.01004,0.94665,0.0037,0.99411,0.76428,0.72153,0.78463,0.55747,0.76163,0.69463,0.75019,0.45569,1.2103,1.92585,0.94713,0.00631,0,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163
65,54366.3,1.22156,1.99896,0.94087,0.0037,0.98835,0.76603,0.72275,0.78591,0.5583,0.76491,0.69401,0.75098,0.45644,1.20911,1.92345,0.94554,0.0063,0,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
66,55201.4,1.22245,2.0048,0.94498,0.00369,0.98579,0.77005,0.72002,0.78706,0.55946,0.76285,0.69801,0.75294,0.45788,1.2089,1.92218,0.94267,0.00629,0,0.0132117,0.0044039,0.0132117,0.0044039,0.0132117,0.0044039,0.0132117,0.0044039
67,56032.2,1.2207,1.99206,0.93727,0.00367,0.98281,0.77086,0.72168,0.78779,0.55993,0.76918,0.69347,0.75335,0.45802,1.20851,1.92129,0.9405,0.00629,0,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
68,56862.2,1.21988,1.99883,0.94084,0.00371,0.97981,0.76894,0.72017,0.78778,0.56009,0.76977,0.69411,0.75335,0.45791,1.20849,1.92037,0.94067,0.00629,0,0.0124438,0.00414793,0.0124438,0.00414793,0.0124438,0.00414793,0.0124438,0.00414793
69,57697.1,1.21763,1.99441,0.93651,0.0037,0.97879,0.77449,0.71881,0.78861,0.56055,0.77261,0.69125,0.75402,0.45835,1.20623,1.91837,0.94216,0.00626,0,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
70,58529.4,1.2131,1.98767,0.92866,0.00365,0.9617,0.77342,0.72041,0.78934,0.56108,0.77551,0.69098,0.75477,0.45855,1.20531,1.9171,0.941,0.00625,0,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445
